10,0,0,12,16,0,0,0,0,0,9,15,0,0,3,0
0,0,0,0,3,0,5,0,0,0,4,7,0,1,0,0
0,0,4,0,15,10,0,7,12,13,0,0,14,0,0,5
0,0,9,0,0,13,4,1,5,14,0,2,0,0,0,15
0,0,0,0,0,0,10,11,9,0,0,0,0,4,0,7
0,0,0,6,7,0,0,9,0,0,0,0,16,0,0,11
9,7,0,0,0,0,14,6,16,0,0,0,3,0,8,10
0,0,11,4,0,16,0,0,0,7,1,0,0,6,9,0
0,8,15,0,0,2,6,0,0,0,5,0,13,14,0,0
5,16,0,13,0,0,0,4,7,2,0,0,0,0,1,9
1,0,0,3,0,0,0,0,15,0,0,12,5,0,0,0
2,0,7,0,0,0,0,16,11,6,0,0,0,0,0,0
8,0,0,0,11,0,1,15,6,5,10,0,0,9,0,0
16,0,0,10,0,0,12,13,8,0,14,11,0,15,0,0
0,0,3,0,10,14,0,0,0,15,0,16,0,0,0,0
0,4,0,0,6,7,0,0,0,0,0,9,8,0,0,1
